Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
38812885,The Wicked + The Divine Deluxe Edition: Year Three,Kieron Gillen,"Gillen, Kieron","Jamie McKelvie, Matt Wilson","=""1534308571""","=""9781534308572""",0,4.17,Image Comics,Hardcover,400,2018,,,2021/08/15,"currently-reading, paused","currently-reading (#3), paused (#3)",currently-reading,,,,1,0
26802086,Classic Horror Stories,Edgar Allan Poe,"Poe, Edgar Allan","J. Sheridan Le Fanu, Ambrose Bierce, Henry James, Bram Stoker, Guy de Maupassant, Robert Louis Stevenson, Mary E. Wilkins Freeman, F. Marion Crawford, E. Nesbit, Arthur Conan Doyle, Edith Wharton, M.R. James, Arthur Machen, W.W. Jacobs, Robert W. Chambers, E.F. Benson, Algernon Blackwood, Oliver Onions, William Hope Hodgson, Henry S. Whitehead, W.F. Harvey, H.P. Lovecraft","=""1435146204""","=""9781435146204""",0,4.20,Barnes & Noble,Leather Bound,788,2015,,,2020/09/28,"currently-reading, paused","currently-reading (#1), paused (#2)",currently-reading,,,,1,0
43106808,The Boys Omnibus Vol. 3,Garth Ennis,"Ennis, Garth","Darick Robertson, John McCrea","=""1524110035""","=""9781524110031""",0,4.09,Dynamite Entertainment,Paperback,344,2019,2010,,2021/08/15,"currently-reading, paused","currently-reading (#2), paused (#1)",currently-reading,,,,1,0
161332,Database System Concepts,Abraham Silberschatz,"Silberschatz, Abraham","Henry Korth, S. Sudarshan","=""0072958863""","=""9780072958867""",0,3.77,McGraw-Hill Science/Engineering/Math,Hardcover,1142,2005,1987,,2023/11/16,,,read,,,,1,0
20515125,Our Sexuality,Robert L. Crooks,"Crooks, Robert L.",Karla Baur,"=""""","=""""",0,3.84,Cengage Learning,Kindle Edition,704,2013,1980,,2023/11/16,,,read,,,,1,0
11732660,Hacking: The Art of Exploitation,Jon Erickson,"Erickson, Jon",,"=""""","=""""",0,4.16,,Paperback,854,,2003,,2023/11/16,to-read,to-read (#95),to-read,,,,0,0
9175433,"Voices of the American Past, Volume II",Raymond M. Hyser,"Hyser, Raymond M.",J. Chris Arndt,"=""1111341265""","=""9781111341268""",0,4.38,Cengage Learning,Paperback,352,2011,2011,,2023/11/16,,,read,,,,1,0
19391340,"Operating System Design: The Xinu Approach, Linksys Version",Douglas E. Comer,"Comer, Douglas E.",,"=""1439881111""","=""9781439881118""",0,4.50,Chapman and Hall/CRC,Kindle Edition,629,2011,1984,,2023/11/16,,,read,,,,1,0
18173387,"A People and a Nation: A History of the United States, Volume II: Since 1865",Mary Beth Norton,"Norton, Mary Beth","Jane Kamensky, Carol Sheriff, David W. Blight, Howard Chudacoff","=""1285425898""","=""9781285425894""",0,3.59,Cengage Learning,Unbound,624,2014,1999,,2023/11/16,,,read,,,,1,0
26260526,Operating System Forensics,Ric Messier,"Messier, Ric",,"=""0128019492""","=""9780128019498""",0,3.75,Syngress,Paperback,386,2015,2015,,2023/11/16,,,read,,,,1,0
